from,continent,music,sibs,pets,pineapple,tech_skills,exercise,tv/movies,video games,cooking,art/music,reading,working,,,,,,,,
Vietnam,Asia,Classical,1,0,no,I'm okay with technology.,0,1,0,1,0,1,0,,,,,,,,
Thailand,Asia,Soft pop,1,0,no,I'm okay with technology.,0,1,0,0,0,0,0,,,,,,,,
Macao/Macau,Asia,I prefer music that would make me feel calm and peaceful.,1,1,no,I'm okay with technology.,0,0,1,1,0,0,0,,,,,,,,
China,Asia,I love pop music.,0,1,no,I'm great with technology,0,0,0,0,0,0,0,,,,,,,,
Indonesia,Asia,"Classical, Acoustic and Pop",3,1,no,I'm okay with technology.,0,1,0,0,0,1,0,,,,,,,,
Canada and Pakistan,Asia,"I enjoy a mix of genres, but mainly listen to  pop music.",2,0,I'm not sure.,I'm okay with technology.,0,1,0,0,1,1,0,,,,,,,,
Indonesia,Asia,"My favorite kind of music is Pop music. I actually listen to all kinds of music as long as I like it, but I think the most common and often music to listen to is Pop music, so I think I can make that as my favorite kind of music.",1,1,I'm not sure.,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
Germany,Europe,German and american rap/pop.,1,2,UGH gross.,I'm great with technology,1,0,1,0,0,0,0,,,,,,,,
Poland,Europe,"I am very big on Hip-Hop, Classic rock, Psychedelic Rock, as well as Jazz and classical.",1,2,sometimes,I'm great with technology,0,0,1,0,1,0,0,,,,,,,,
Shoreline,North America,Gospels ,4,0,yes,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
North Seattle,North America,"I listen to a lot of NW power pop from the early 90s, but I also appreciate just about everything. There isn't a show on KEXP that I don't enjoy.",0,1,yes,I'm great with technology,0,0,0,0,0,1,0,,,,,,,,
Seattle born and raised,North America,"I vary my music based on my moods a lot but I mainly enjoy Rap, Folk, Funk, light Jazz, and EDM. I'm the kind of person where its hard to find a genre I don't like. ",1,1,yes,I'm great with technology,1,1,1,0,0,0,0,,,,,,,,
"Washington State. But I was born in Providence, RI.",North America,"Green Day

Nirvana

David Bowie

The Grateful Dead

Elton John

Eminem

Jack Johnson

The Beatles

AC/DC

 

Whatever genres those artists are. I have a very narrow amount of music I listen to.",1,2,yes,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
Seattle WA,North America,I can enjoy many kinds of music if the song is right. But I would say that modern country music is my favorite. I'm always listening to it in the car and when I go on long road trips.,1,0,YEAH!,I'm okay with technology.,1,1,0,0,0,0,0,,,,,,,,
Washington,North America,"I don't really have a genre I am into. I've been listening to a lot of Jacob Lee, Stephen, AJR, and Lewis Capaldi.",1,0,YEAH!,I'm okay with technology.,1,0,1,0,0,1,0,,,,,,,,
Shoreline,North America,"Soft rock

Modern rap",3,0,YEAH!,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
"Seattle, WA",North America,"I like R&B, hip-hop, jazz, rock, metal, folk, classical, EDM, soul, K-Pop, alternative indie",2,1,YEAH!,I'm great with technology,0,0,1,0,0,1,0,,,,,,,,
Seattle,North America,Open to most genres of music but my personal favorite genre is East Coast 90s hip-hop. More specifically A a tribe Called Quest. ,3,2,YEAH!,I'm okay with technology.,0,1,1,0,1,0,0,,,,,,,,
"From all around the States, but I've spent the last dozen years or so in Seattle",North America,"This is a tough one.  I spent the majority of last decade in a rock band, so I was heavily saturated by rock 'n roll - mostly the classic R&B rock artist of old (Bo Diddley, Chuck Berry, etc.), classic rock (The Stones, Led Zeppelin, etc.), and modern psychedelic rock (Thee Oh Sees, The Black Angels, etc.)

However, now when I'm listening to audio that isn't a news podcast, I listen to easy-to-listen-to music - from Miles Davis to Louis Prima.",2,2,YEAH!,I'm okay with technology.,0,0,0,0,0,0,1,,,,,,,,
Seattle,North America,"I have varying tastes in music ranging from metal to classical music, my only dislikes are reggae and country.",1,3,YEAH!,I'm great with technology,0,0,1,0,0,0,0,,,,,,,,
"Seattle, WA",North America,"I enjoy pretty much anything from Pop to Rock to Classical, but I am especially fond of folk and (good) country.",1,3,YEAH!,I'm great with technology,0,1,0,0,1,0,0,,,,,,,,
"Seattle, WA",North America,My favorite kind of music is R&B and rock. ,2,4,YEAH!,I'm great with technology,0,1,0,0,0,0,0,,,,,,,,
Seattle,North America,"- R&B

- Rap

- Classic Rock",1,4,YEAH!,I'm okay with technology.,1,0,0,0,0,0,0,,,,,,,,
United States,North America,Too many to choose. Basically anything except country (some songs are the exceptions),1,5,YEAH!,I'm great with technology,0,1,1,0,0,0,0,,,,,,,,
Texas/Washington,North America,"Bagpipes and pop (I personally recommend the SIDH, it's a mixture of classical and pop Celtic music)",2,,YEAH!,I'm great with technology,0,0,0,0,0,1,0,,,,,,,,
shoreline,North America,I like all kinds of music except country.,3,0,UGH gross.,I'm okay with technology.,1,1,1,0,0,1,0,,,,,,,,
Seattle,North America,"Country, rock, Blue Grass",1,2,UGH gross.,I'm okay with technology.,0,0,1,1,0,0,0,,,,,,,,
"Mukilteo, WA",North America,Country and 70-90 hip hop and rap.,3,3,UGH gross.,I'm okay with technology.,0,1,0,0,0,0,0,,,,,,,,
Shoreline,North America,"Indie, alternative, and old-school rap",3,3,UGH gross.,I'm great with technology,1,1,0,0,0,0,0,,,,,,,,
"Honolulu, Hawaii",North America,"I like to listen to EDM, chill music and anything I can dance to. ",1,0,sometimes,I'm great with technology,1,1,0,0,0,0,0,,,,,,,,
Washington,North America,I don't have favorite kinds of music.,3,0,sometimes,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
Seattle,North America,"I enjoy whatever is on the radio. I like pop the most but will listen to and love almost anything else, especially songs I can sing along to. I always have some song or another stuck in my head.",1,1,sometimes,I'm great with technology,0,0,1,0,0,0,0,,,,,,,,
Shoreline,North America,I usually listen to R&B and rap. I like most genres except for country or classical music.,1,1,sometimes,I'm great with technology,1,1,0,0,1,0,0,,,,,,,,
Washington,North America,Metal/rock/punk,3,1,sometimes,I'm great with technology,0,0,1,0,0,0,0,,,,,,,,
Seattle,North America,Probably synthwave and hard rock,3,1,sometimes,I'm great with technology,0,0,0,0,0,0,1,,,,,,,,
Seattle,North America,Jazz,1,1,sometimes,I'm okay with technology.,0,0,1,0,0,0,0,,,,,,,,
"Lake Stevens, WA",North America,"I've found myself listening to mostly Lofi since that is what I put on when I am trying to be productive. But, I typically listen to pop, rap, reggae, or classic rock. I am not particularly picky with my music choice. I don't go out of my way to listen to any country or harder forms of rock but I'm also not put off when other people put them on.",2,2,sometimes,I'm great with technology,0,1,1,0,0,1,0,,,,,,,,
Washington,North America,"I enjoy most music, though bossa nova would be the standout.",2,3,sometimes,I'm great with technology,0,0,0,0,0,0,0,,,,,,,,
Shoreline WA,North America,"It changes a lot but right now I really like Bon Iver, Radiohead, The Strokes, Jai Paul, Tame Impala, and the Red Hot Chili Peppers. ",1,6,sometimes,I'm okay with technology.,1,1,0,0,0,0,0,,,,,,,,
bay area,North America,edm ,2,1,no,I'm okay with technology.,1,0,0,0,1,0,0,,,,,,,,
"Dallas, TX",North America,My favorite types of music are typically hip-hop and r&b. During quarantine I've been listening to Disney soundtracks though so that's fun.,1,1,no,I'm great with technology,0,1,0,0,0,0,0,,,,,,,,
"Sao Paulo, Brazil",South America,"Country, rap, and folk. ",1,1,UGH gross.,I'm okay with technology.,0,1,1,0,0,0,0,,,,,,,,
