city,drive,fuelType,highway,make,model,,VClass
18,Rear-Wheel Drive,Premium,26,Porsche,Cayman S,Manual,Two Seaters
19,Rear-Wheel Drive,Premium,26,Saturn,SKY,Automatic,Two Seaters
19,Rear-Wheel Drive,Premium,28,Saturn,SKY,Manual,Two Seaters
19,Rear-Wheel Drive,Premium,24,Saturn,SKY,Automatic,Two Seaters
17,Rear-Wheel Drive,Premium,26,Saturn,SKY,Manual,Two Seaters
17,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 Cabriolet,Automatic,Minicompact Cars
16,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 Cabriolet,Manual,Minicompact Cars
17,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 Coupe,Automatic,Minicompact Cars
16,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 Coupe,Manual,Minicompact Cars
21,Rear-Wheel Drive,Regular,28,Toyota,Celica,Manual,Subcompact Cars
18,Front-Wheel Drive,Regular,26,Mercury,Sable Wagon,Automatic,Midsize-Large Station Wagons
17,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 S Cabriolet,Automatic,Minicompact Cars
16,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 S Cabriolet,Manual,Minicompact Cars
17,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 S Coupe,Automatic,Minicompact Cars
16,Rear-Wheel Drive,Premium,24,Porsche,Carrera 2 S Coupe,Manual,Minicompact Cars
17,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Cabriolet,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Cabriolet,Manual,Minicompact Cars
17,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Coupe,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Coupe,Manual,Minicompact Cars
17,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Cabriolet,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Cabriolet,Manual,Minicompact Cars
16,Front-Wheel Drive,Regular,23,Mercury,Sable Wagon,Automatic,Midsize-Large Station Wagons
17,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Coupe,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Coupe,Manual,Minicompact Cars
17,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Targa,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Carrera 4 S Targa,Manual,Minicompact Cars
17,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Targa,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,24,Porsche,Carrera 4 Targa,Manual,Minicompact Cars
15,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Turbo 4 911 Turbo,Automatic,Minicompact Cars
16,4-Wheel or All-Wheel Drive,Premium,23,Porsche,Turbo 4 911 Turbo,Manual,Minicompact Cars
19,Front-Wheel Drive,Regular,28,Volkswagen,New Beetle Convertible,Manual,Minicompact Cars
19,Front-Wheel Drive,Regular,28,Volkswagen,New Beetle Convertible,Automatic,Minicompact Cars
19,Front-Wheel Drive,Regular,26,Oldsmobile,Cutlass Cruiser,Automatic,Midsize-Large Station Wagons
21,Front-Wheel Drive,Premium,29,Audi,A4 Cabriolet,Automatic,Subcompact Cars
19,4-Wheel or All-Wheel Drive,Premium,27,Audi,A4 Cabriolet quattro,Automatic,Subcompact Cars
17,4-Wheel or All-Wheel Drive,Premium,25,Audi,A4 Cabriolet quattro,Automatic,Subcompact Cars
13,4-Wheel or All-Wheel Drive,Premium,19,Audi,S4 Cabriolet,Manual,Subcompact Cars
