officer_gender,officer_race,officer_age,subject_gender,subject_race,subject_age,weapon,arrest_flag,frisk_flag
M,White,29,Female,NonWhite,36 - 45,None,0,0
F,White,32,Female,NonWhite,46 - 55,None,0,0
M,White,28,Female,NonWhite,46 - 55,None,0,0
M,White,30,Female,NonWhite,18 - 25,None,0,0
M,White,30,Female,NonWhite,18 - 25,None,0,0
M,White,30,Female,NonWhite,18 - 25,None,0,0
M,White,31,Female,NonWhite,26 - 35,None,0,0
M,White,30,Female,NonWhite,26 - 35,None,0,0
M,White,29,Female,NonWhite,36 - 45,None,0,0
M,White,30,Female,NonWhite,36 - 45,None,0,0
M,White,30,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,36 - 45,None,0,0
M,White,30,Female,NonWhite,36 - 45,None,0,0
M,White,31,Female,NonWhite,56 and Above,None,0,0
M,White,29,Female,NonWhite,18 - 25,None,0,0
M,White,29,Female,NonWhite,18 - 25,None,0,0
M,White,28,Female,NonWhite,18 - 25,None,0,0
F,White,28,Female,NonWhite,26 - 35,None,0,0
M,White,28,Female,NonWhite,26 - 35,None,0,0
M,White,26,Female,NonWhite,36 - 45,None,0,0
M,White,26,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,46 - 55,None,0,0
M,White,27,Female,NonWhite,26 - 35,None,0,0
F,White,26,Female,NonWhite,26 - 35,None,0,0
M,White,29,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,56 and Above,None,0,0
M,White,27,Female,NonWhite,18 - 25,None,0,0
F,White,25,Female,NonWhite,18 - 25,None,0,0
M,White,26,Female,NonWhite,18 - 25,None,0,0
F,White,27,Female,NonWhite,18 - 25,None,0,0
M,White,24,Female,NonWhite,26 - 35,None,0,0
M,White,24,Female,NonWhite,36 - 45,None,0,0
M,White,27,Female,NonWhite,36 - 45,None,0,0
M,White,27,Female,NonWhite,36 - 45,None,0,0
M,White,26,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,36 - 45,None,0,0
M,White,28,Female,NonWhite,36 - 45,None,0,0
F,White,23,Female,NonWhite,18 - 25,None,0,0
M,White,25,Female,NonWhite,26 - 35,None,0,0
M,White,25,Female,NonWhite,26 - 35,None,0,0
F,White,24,Female,NonWhite,36 - 45,None,0,0
M,White,25,Female,NonWhite,46 - 55,None,0,0
F,White,24,Female,NonWhite,46 - 55,None,0,0
M,White,26,Female,NonWhite,46 - 55,None,0,0
M,White,26,Female,NonWhite,46 - 55,None,0,0
F,White,24,Female,NonWhite,56 and Above,None,0,0
M,White,24,Female,NonWhite,36 - 45,None,0,0
M,White,23,Female,NonWhite,36 - 45,None,0,0
M,White,25,Female,NonWhite,36 - 45,None,0,0
M,White,24,Female,NonWhite,36 - 45,None,0,0
F,White,22,Female,NonWhite,36 - 45,None,0,0
F,White,50,Female,NonWhite,36 - 45,None,0,1
F,White,53,Female,NonWhite,36 - 45,None,0,1
M,White,45,Female,NonWhite,46 - 55,None,0,1
M,White,40,Female,NonWhite,36 - 45,None,0,1
M,White,37,Female,NonWhite,26 - 35,None,0,1
M,White,38,Female,NonWhite,18 - 25,None,0,1
M,White,35,Female,NonWhite,26 - 35,None,0,1
M,White,35,Female,NonWhite,18 - 25,None,0,1
M,White,35,Female,NonWhite,18 - 25,None,0,1
M,White,35,Female,NonWhite,18 - 25,None,0,1
M,White,34,Female,NonWhite,26 - 35,None,0,1
