Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2024,Winter,O,146,Y,90.49,3.6
2020,Fall,OC,208,N,90.45,3.7
2020,Spring,OC,152,N,90.45,4
2020,Spring,OC,211,N,90.37,3.9
2021,Fall,H,146,Y,90.27,3.7
2019,Fall,IP,152,Y,90.23,3.7
2023,Spring,O,146,Y,90.11,3.5
2020,Summer,OC,152,N,90.03,3.7
2023,Spring,O,146,Y,89.98,3.5
2021,Summer,OC,146,Y,89.97,3.7
2020,Fall,OC,208,N,89.94,3.7
2019,Spring,IP,142,N,89.94,3.7
2019,Winter,IP,98,N,89.88,3.7
2020,Summer,OC,211,N,89.85,3.5
2023,Fall,H,146,N,89.82,3.5
2024,Spring,H,146,Y,89.75,3.5
2021,Fall,H,146,N,89.62,3.7
2021,Spring,OC,146,Y,89.59,3.6
2021,Winter,OC,146,N,89.52,3.6
2024,Fall,H,107,Y,89.51,3.5
2022,Spring,H,146,N,89.49,3.6
2022,Winter,H,146,Y,89.43,3.6
2020,Summer,OC,211,N,89.37,3.5
2021,Winter,OC,146,Y,89.31,3.6
2021,Fall,H,146,N,89.25,3.7
2021,Spring,OC,146,Y,89.25,3.6
2019,Winter,IP,98,N,89.19,3.7
2024,Winter,O,146,Y,89.13,3.4
2024,Fall,O,146,N,89.12,3.4
2019,Winter,IP,141,N,89.11,3.8
2020,Summer,OC,152,N,89.05,3.7
2020,Spring,OC,211,N,89,3.9
2024,Summer,O,148,N,88.96,3.4
2022,Winter,H,146,Y,88.9,3.6
2021,Winter,OC,146,Y,88.89,3.6
2024,Summer,O,146,Y,88.86,3.4
2019,Winter,IP,141,N,88.85,3.8
2020,Spring,OC,152,N,88.82,3.9
2019,Winter,IP,152,N,88.82,3.8
2023,Winter,H,151,N,88.78,3.3
2019,Summer,IP,152,N,88.75,3.8
2023,Fall,H,146,N,88.73,3.4
2022,Summer,O,146,Y,88.73,3.6
2020,Spring,OC,152,N,88.69,3.9
2021,Winter,OC,146,N,88.54,3.5
2022,Fall,H,107,Y,88.46,3.5
2022,Spring,H,146,Y,88.42,3.6
2024,Summer,O,146,Y,88.41,3.3
2019,Fall,IP,146,Y,88.39,3.6
2019,Spring,IP,146,N,88.36,3.7
2023,Fall,H,146,N,88.26,3.3
2024,Fall,H,99,Y,88.24,3.4
2022,Summer,O,211,N,88.24,3.5
2019,Winter,IP,141,N,88.24,3.7
2021,Fall,H,146,N,88.21,3.5
2020,Summer,OC,152,N,88.1,3.6
2020,Spring,OC,211,N,88.07,3.8
2021,Winter,OC,146,N,88.01,3.5
2024,Summer,O,211,N,87.94,3.3
2023,Winter,O,146,Y,87.94,3.3
2019,Winter,IP,141,N,87.9,3.7
2024,Fall,O,146,N,87.83,3.3
2024,Summer,O,148,N,87.83,3.3
2023,Spring,O,146,Y,87.74,3.3
2024,Summer,O,211,N,87.69,3.3
2019,Spring,IP,142,N,87.63,3.5
2023,Fall,H,146,N,87.61,3.3
2022,Fall,H,107,Y,87.59,3.5
2021,Spring,OC,146,Y,87.59,3.5
2023,Spring,O,146,N,87.57,3.3
2020,Fall,IP,146,Y,87.55,3.6
2020,Fall,IP,146,Y,87.49,3.5
2020,Summer,OC,152,N,87.48,3.5
2019,Summer,IP,152,N,87.44,3.8
2020,Fall,IP,146,Y,87.4,3.6
2022,Fall,H,107,Y,87.36,3.5
2022,Summer,O,211,N,87.33,3.4
2020,Spring,OC,211,N,87.32,3.7
2023,Winter,H,151,N,87.3,3.2
2021,Winter,OC,146,N,87.24,3.5
2024,Spring,H,107,Y,87.21,3.2
2020,Spring,OC,211,N,87.21,3.7
2021,Winter,OC,146,Y,87.21,3.5
2023,Spring,O,146,N,87.19,3.2
2019,Fall,IP,146,Y,87.17,3.5
2019,Winter,IP,152,N,87.15,3.5
2024,Spring,H,146,Y,87.13,3.2
2020,Spring,OC,211,N,87.13,3.7
2023,Winter,H,151,N,87.12,0
2024,Winter,O,146,Y,87.11,3.2
2019,Fall,IP,146,Y,87.05,3.5
2021,Spring,OC,146,Y,86.89,3.4
2019,Winter,IP,141,N,86.89,3.6
2020,Summer,OC,152,N,86.88,3.5
2021,Spring,OC,146,Y,86.82,3.3
2021,Summer,OC,146,Y,86.79,3.5
2023,Winter,O,146,Y,86.76,3.2
2023,Winter,O,146,Y,86.7,3.2
2021,Fall,H,146,N,86.67,3.6
2021,Winter,OC,146,Y,86.6,3.4
2024,Summer,O,211,N,86.59,3.2
2021,Summer,OC,146,Y,86.57,3.5
2020,Spring,OC,152,N,86.55,3.8
2019,Summer,IP,152,N,86.52,3.8
2023,Winter,H,151,N,86.52,3.1
2022,Summer,O,211,N,86.5,3.4
2024,Fall,O,146,N,86.46,3.2
2019,Spring,IP,146,N,86.46,3.6
2022,Summer,O,146,Y,86.42,3.4
2024,Summer,O,211,N,86.37,3.1
2019,Winter,IP,152,N,86.35,3.5
2023,Winter,O,146,Y,86.33,3.1
2020,Fall,IP,146,Y,86.17,3.5
2023,Winter,H,151,N,86.16,2.5
2019,Spring,IP,146,N,86.12,3.6
2022,Winter,H,146,Y,86.11,3.4
2024,Fall,O,146,N,85.96,3.1
2022,Spring,H,146,N,85.96,3.3
2019,Spring,IP,146,N,85.96,3.6
2020,Spring,OC,211,N,85.91,3.6
2019,Summer,IP,152,N,85.88,3.7
2020,Summer,OC,211,N,85.78,3.3
2023,Fall,H,146,N,85.74,3.1
2019,Winter,IP,141,N,85.71,3.6
2022,Summer,O,146,Y,85.7,3.4
2019,Summer,IP,152,N,85.63,3.7
2022,Summer,O,146,Y,85.61,3.4
2021,Fall,H,146,Y,85.6,3.3
2020,Spring,OC,211,N,85.6,3.6
2024,Spring,H,107,Y,85.51,3.1
2020,Fall,OC,208,N,85.5,3.3
2021,Fall,H,146,N,85.43,3.4
2020,Summer,OC,152,N,85.43,3.3
2023,Winter,O,146,Y,85.41,3
2023,Fall,H,146,N,85.33,3.1
2020,Summer,OC,152,N,85.31,3.4
2024,Fall,H,107,Y,85.26,3
2021,Spring,OC,146,Y,85.23,3.3
2019,Spring,IP,146,N,85.22,3.6
2023,Fall,H,211,N,85.17,3
2019,Fall,IP,146,Y,85.09,3.5
2020,Spring,OC,152,N,84.9,3.5
2024,Fall,H,107,Y,84.69,3
2021,Summer,OC,146,Y,84.68,3.4
2020,Summer,OC,152,N,84.66,3.3
2024,Fall,H,99,Y,84.63,3
2021,Summer,OC,146,Y,84.63,3.4
2024,Fall,O,146,N,84.59,3
2021,Fall,H,146,N,84.54,3.3
2021,Summer,OC,146,Y,84.44,3.4
2023,Fall,H,146,N,84.43,2.9
2019,Spring,IP,146,N,84.42,3.4
2022,Summer,O,146,Y,84.39,3.2
2022,Winter,H,146,Y,84.38,3.2
2020,Spring,OC,152,N,84.36,3.5
2020,Summer,OC,152,N,84.35,3.3
2019,Fall,IP,146,Y,84.33,3.4
2020,Spring,OC,211,N,84.32,3.4
2022,Winter,H,107,Y,84.29,3.1
2024,Winter,O,146,Y,84.27,2.9
2020,Summer,OC,152,N,84.24,3.3
2020,Spring,OC,211,N,84.23,3.4
2019,Fall,IP,146,Y,84.22,3.4
2019,Summer,IP,152,N,84.17,3.5
2020,Fall,IP,146,Y,84.15,3.4
2020,Fall,IP,146,Y,84.03,3.4
2020,Spring,OC,211,N,84,3.4
2021,Summer,OC,146,Y,83.99,3.2
2024,Winter,O,146,Y,83.98,2.9
2019,Winter,IP,152,N,83.92,3.4
2019,Winter,IP,98,N,83.75,3.4
2021,Summer,OC,146,Y,83.73,3.2
2020,Spring,OC,152,N,83.66,3.4
2023,Fall,H,146,N,83.62,2.9
2021,Summer,OC,146,Y,83.57,3.1
2022,Winter,H,146,Y,83.53,3.2
2019,Winter,IP,152,N,83.49,3.4
2022,Summer,O,211,N,83.44,3.1
2020,Spring,OC,211,N,83.38,3.3
2021,Fall,H,146,Y,83.29,3.1
2019,Fall,IP,142,Y,83.17,3.3
2024,Spring,H,107,Y,83.05,2.8
2019,Spring,IP,146,N,82.96,3.4
2019,Summer,IP,152,N,82.93,3.5
2023,Spring,O,146,N,82.84,2.7
2022,Spring,H,146,Y,82.77,3.1
2022,Fall,H,146,Y,82.71,3.1
2023,Winter,O,146,Y,82.52,2.8
2020,Spring,OC,211,N,82.5,3.3
2024,Winter,H,146,Y,82.35,2.7
2024,Summer,O,148,N,82.31,2.7
2023,Spring,O,146,Y,82.26,2.7
2019,Spring,IP,142,N,82.23,3.4
2022,Summer,O,146,Y,82.23,3
2024,Summer,O,148,N,82.16,2.7
2020,Fall,OC,208,N,82.09,3
2019,Summer,IP,152,N,82.05,3.4
2019,Spring,IP,146,N,82.01,3.2
2021,Spring,OC,146,Y,81.97,3
2020,Summer,OC,152,N,81.92,3.1
2020,Summer,OC,152,N,81.9,3.1
2024,Summer,O,148,N,81.82,2.7
2019,Winter,IP,98,N,81.82,3.3
2019,Winter,IP,98,N,81.77,3.2
2021,Spring,OC,146,Y,81.68,3
2019,Fall,IP,146,Y,81.66,3.2
2024,Summer,O,148,N,81.62,2.7
2019,Winter,IP,98,N,81.57,3.3
2019,Spring,IP,142,N,81.54,3.3
2023,Winter,H,151,N,81.48,4
2021,Fall,H,146,N,81.47,2.9
2023,Spring,O,146,N,81.39,2.6
2023,Spring,O,146,Y,81.38,2.6
2023,Fall,H,211,N,81.35,2.6
2023,Spring,O,146,N,81.29,2.6
2019,Fall,IP,146,Y,81.26,3.1
2019,Winter,IP,141,N,81.26,3.2
2022,Fall,H,107,Y,81.25,3
2020,Summer,OC,152,N,81.22,3.1
2021,Summer,OC,146,Y,81.19,2.9
2024,Fall,O,146,N,81.17,2.6
2020,Summer,OC,211,N,80.85,2.9
2024,Summer,O,148,N,80.83,2.6
2021,Fall,H,146,Y,80.79,2.8
2024,Spring,H,146,Y,80.72,2.6
2021,Winter,OC,146,N,80.72,2.9
2021,Spring,OC,146,Y,80.71,2.9
2019,Spring,IP,146,N,80.59,3.1
2019,Fall,IP,146,Y,80.58,3.1
2020,Spring,OC,211,N,80.54,3
2024,Fall,H,99,Y,80.41,0
2023,Winter,H,151,N,80.28,2
2022,Spring,H,146,Y,80.27,2.8
2022,Spring,H,146,Y,80.25,2.8
2021,Summer,OC,146,Y,80.23,2.8
2019,Winter,IP,98,N,80.21,3
2021,Winter,OC,146,N,80.18,2.8
2022,Fall,H,107,Y,80.12,2.9
2024,Spring,H,146,Y,80.12,2.5
2020,Spring,OC,211,N,80.12,3
2024,Spring,H,107,Y,80.1,2.5
2021,Fall,H,146,N,80.06,2.8
2024,Summer,O,146,Y,80.06,2.5
2024,Summer,O,148,N,79.92,2.5
2021,Spring,OC,146,Y,79.91,2.8
2019,Summer,IP,152,N,79.75,3.1
2024,Winter,O,146,Y,79.68,2.5
2024,Summer,O,148,N,79.61,2.5
2024,Fall,H,107,Y,79.55,2.5
2019,Fall,IP,152,Y,79.51,3
2023,Winter,H,151,N,79.48,2.4
2023,Fall,H,146,N,79.35,2.4
2024,Spring,H,107,Y,79.27,2.4
2020,Spring,OC,152,N,79.24,2.9
2023,Winter,H,151,N,79.2,2.4
2019,Fall,IP,152,Y,79.16,3
2024,Fall,O,146,N,79.13,2.4
2021,Winter,OC,146,N,79.1,2.8
2022,Fall,H,107,Y,79.05,2.8
2020,Fall,IP,146,Y,79,3
2024,Spring,H,107,Y,78.98,2.4
2024,Summer,O,148,N,78.98,2.4
2023,Spring,O,146,N,78.97,2.4
2021,Fall,H,146,N,78.75,2.4
2024,Fall,O,146,N,78.74,2.4
2019,Spring,IP,146,N,78.74,2.9
2020,Spring,OC,152,N,78.68,2.9
2022,Spring,H,146,N,78.65,2.3
2019,Summer,IP,152,N,78.63,3
2022,Fall,H,146,Y,78.62,2.4
2021,Summer,OC,146,Y,78.58,2.6
2024,Winter,H,146,Y,78.53,2.3
2023,Fall,H,146,N,78.49,2.3
2021,Spring,OC,146,Y,78.43,2.7
2023,Spring,O,146,N,78.32,2.3
2022,Fall,H,146,Y,78.28,2.3
2020,Spring,OC,211,N,78.28,2.9
2021,Winter,OC,146,N,78.25,2.5
2023,Winter,O,146,Y,78.21,2.3
2024,Spring,H,107,Y,78.16,2.3
2023,Winter,H,151,N,78.16,2.3
2022,Summer,O,146,Y,78.06,2.3
2019,Winter,IP,98,N,77.98,2.8
2020,Fall,IP,146,Y,77.82,2.8
2020,Spring,OC,211,N,77.7,2.8
2019,Winter,IP,152,N,77.6,2.8
2021,Spring,OC,146,Y,77.55,2.2
2020,Spring,OC,211,N,77.55,2.8
2021,Winter,OC,146,N,77.52,2.3
2020,Spring,OC,152,N,77.43,2.7
2020,Summer,OC,211,N,77.43,2.3
2023,Winter,H,151,N,77.27,2.2
2020,Summer,OC,211,N,77.23,2.3
2019,Spring,IP,146,N,77.21,2.7
2023,Spring,O,146,N,77.2,2.2
